"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"PANATHINAIKOS AKTOR ATHENS",20,18,23,21,150,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",17,14,19,15,150,"E2023"
"ALBA BERLIN",25,18,8,16,151,"E2023"
"OLYMPIACOS PIRAEUS",19,21,27,27,151,"E2023"
"AS MONACO",27,20,20,24,152,"E2023"
"FC BARCELONA",15,21,16,19,152,"E2023"
"PARTIZAN MOZZART BET BELGRADE",18,18,19,20,153,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",23,18,19,17,153,"E2023"
"FENERBAHCE BEKO ISTANBUL",26,9,22,19,154,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,16,23,28,154,"E2023"
"MACCABI PLAYTIKA TEL AVIV",22,27,15,29,155,"E2023"
"AS MONACO",12,23,19,29,155,"E2023"
"OLYMPIACOS PIRAEUS",18,22,23,16,156,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,16,15,24,156,"E2023"
"PARTIZAN MOZZART BET BELGRADE",23,27,19,21,157,"E2023"
"LDLC ASVEL VILLEURBANNE",17,14,14,32,157,"E2023"
"ZALGIRIS KAUNAS",22,26,13,16,158,"E2023"
"ALBA BERLIN",25,16,11,19,158,"E2023"
"FC BARCELONA",21,24,15,23,159,"E2023"
"REAL MADRID",25,22,15,16,159,"E2023"
"BASKONIA VITORIA-GASTEIZ",13,13,24,25,160,"E2023"
"PANATHINAIKOS AKTOR ATHENS",12,25,16,20,160,"E2023"
"VALENCIA BASKET",18,25,28,22,161,"E2023"
"ANADOLU EFES ISTANBUL",18,27,21,22,161,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",22,20,23,20,162,"E2023"
"FC BAYERN MUNICH",24,22,23,14,162,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",24,26,15,23,163,"E2023"
"PARTIZAN MOZZART BET BELGRADE",13,16,19,24,163,"E2023"
"LDLC ASVEL VILLEURBANNE",23,28,21,21,164,"E2023"
"ZALGIRIS KAUNAS",17,26,16,20,164,"E2023"
"FENERBAHCE BEKO ISTANBUL",22,35,23,29,165,"E2023"
"MACCABI PLAYTIKA TEL AVIV",22,9,17,26,165,"E2023"
"OLYMPIACOS PIRAEUS",17,17,22,19,166,"E2023"
"AS MONACO",21,15,22,15,166,"E2023"
"ALBA BERLIN",9,18,24,17,167,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",26,22,15,20,167,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,15,16,26,168,"E2023"
"FC BAYERN MUNICH",12,15,20,15,168,"E2023"
"FC BARCELONA",24,23,15,27,169,"E2023"
"BASKONIA VITORIA-GASTEIZ",23,19,26,17,169,"E2023"
"REAL MADRID",25,13,26,17,10,11,9,19,170,"E2023"
"ANADOLU EFES ISTANBUL",18,18,25,20,10,11,9,15,170,"E2023"
"VALENCIA BASKET",23,24,22,12,171,"E2023"
"PANATHINAIKOS AKTOR ATHENS",22,25,19,16,171,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,24,25,23,172,"E2023"
"PARTIZAN MOZZART BET BELGRADE",31,17,16,12,172,"E2023"
"AS MONACO",21,22,28,22,173,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,17,20,24,173,"E2023"
"PANATHINAIKOS AKTOR ATHENS",25,26,17,15,174,"E2023"
"ANADOLU EFES ISTANBUL",14,21,22,19,174,"E2023"
"LDLC ASVEL VILLEURBANNE",25,23,22,30,175,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",25,20,22,24,175,"E2023"
"VALENCIA BASKET",21,21,22,15,176,"E2023"
"ZALGIRIS KAUNAS",27,21,14,22,176,"E2023"
"EA7 EMPORIO ARMANI MILAN",16,21,23,22,177,"E2023"
"ALBA BERLIN",17,18,23,18,177,"E2023"
"FC BAYERN MUNICH",18,18,17,18,178,"E2023"
"REAL MADRID",24,21,19,28,178,"E2023"
"FC BARCELONA",27,17,31,11,179,"E2023"
"OLYMPIACOS PIRAEUS",20,21,22,15,179,"E2023"
"MACCABI PLAYTIKA TEL AVIV",18,28,24,25,180,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",21,24,15,18,180,"E2023"
"FENERBAHCE BEKO ISTANBUL",22,16,19,24,17,181,"E2023"
"FC BAYERN MUNICH",22,17,20,22,10,181,"E2023"
"PANATHINAIKOS AKTOR ATHENS",27,16,21,24,182,"E2023"
"AS MONACO",12,18,14,19,182,"E2023"
"EA7 EMPORIO ARMANI MILAN",15,16,16,15,183,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,24,10,19,183,"E2023"
"REAL MADRID",16,19,23,24,14,184,"E2023"
"VALENCIA BASKET",24,16,15,27,4,184,"E2023"
"ANADOLU EFES ISTANBUL",26,24,23,26,185,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",15,14,25,21,185,"E2023"
"LDLC ASVEL VILLEURBANNE",20,17,13,13,186,"E2023"
"ALBA BERLIN",19,22,21,26,186,"E2023"
"FC BARCELONA",26,18,24,23,187,"E2023"
