"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"VALENCIA BASKET",18,43,71,93,161,"E2023"
"ANADOLU EFES ISTANBUL",18,45,66,88,161,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",22,42,65,85,162,"E2023"
"FC BAYERN MUNICH",24,46,69,83,162,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",24,50,65,88,163,"E2023"
"PARTIZAN MOZZART BET BELGRADE",13,29,48,72,163,"E2023"
"LDLC ASVEL VILLEURBANNE",23,51,72,93,164,"E2023"
"ZALGIRIS KAUNAS",17,43,59,79,164,"E2023"
"FENERBAHCE BEKO ISTANBUL",22,57,80,109,165,"E2023"
"MACCABI PLAYTIKA TEL AVIV",22,31,48,74,165,"E2023"
"OLYMPIACOS PIRAEUS",17,34,56,75,166,"E2023"
"AS MONACO",21,36,58,73,166,"E2023"
"ALBA BERLIN",9,27,51,68,167,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",26,48,63,83,167,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,34,50,76,168,"E2023"
"FC BAYERN MUNICH",12,27,47,62,168,"E2023"
"FC BARCELONA",24,47,62,89,169,"E2023"
"BASKONIA VITORIA-GASTEIZ",23,42,68,85,169,"E2023"
"REAL MADRID",25,38,64,81,91,102,111,130,170,"E2023"
"ANADOLU EFES ISTANBUL",18,36,61,81,91,102,111,126,170,"E2023"
"VALENCIA BASKET",23,47,69,81,171,"E2023"
"PANATHINAIKOS AKTOR ATHENS",22,47,66,82,171,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,43,68,91,172,"E2023"
"PARTIZAN MOZZART BET BELGRADE",31,48,64,76,172,"E2023"
"AS MONACO",21,43,71,93,173,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,39,59,83,173,"E2023"
"PANATHINAIKOS AKTOR ATHENS",25,51,68,83,174,"E2023"
"ANADOLU EFES ISTANBUL",14,35,57,76,174,"E2023"
"LDLC ASVEL VILLEURBANNE",25,48,70,100,175,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",25,45,67,91,175,"E2023"
"VALENCIA BASKET",21,42,64,79,176,"E2023"
"ZALGIRIS KAUNAS",27,48,62,84,176,"E2023"
"EA7 EMPORIO ARMANI MILAN",16,37,60,82,177,"E2023"
"ALBA BERLIN",17,35,58,76,177,"E2023"
"FC BAYERN MUNICH",18,36,53,71,178,"E2023"
"REAL MADRID",24,45,64,92,178,"E2023"
"FC BARCELONA",27,44,75,86,179,"E2023"
"OLYMPIACOS PIRAEUS",20,41,63,78,179,"E2023"
"MACCABI PLAYTIKA TEL AVIV",18,46,70,95,180,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",21,45,60,78,180,"E2023"
"FENERBAHCE BEKO ISTANBUL",22,38,57,81,98,181,"E2023"
"FC BAYERN MUNICH",22,39,59,81,91,181,"E2023"
"PANATHINAIKOS AKTOR ATHENS",27,43,64,88,182,"E2023"
"AS MONACO",12,30,44,63,182,"E2023"
"EA7 EMPORIO ARMANI MILAN",15,31,47,62,183,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,47,57,76,183,"E2023"
"REAL MADRID",16,35,58,82,96,184,"E2023"
"VALENCIA BASKET",24,40,55,82,86,184,"E2023"
"ANADOLU EFES ISTANBUL",26,50,73,99,185,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",15,29,54,75,185,"E2023"
"LDLC ASVEL VILLEURBANNE",20,37,50,63,186,"E2023"
"ALBA BERLIN",19,41,62,88,186,"E2023"
"FC BARCELONA",26,44,68,91,187,"E2023"
"ZALGIRIS KAUNAS",12,37,57,73,187,"E2023"
"BASKONIA VITORIA-GASTEIZ",14,33,59,80,188,"E2023"
"OLYMPIACOS PIRAEUS",17,32,49,69,188,"E2023"
"PARTIZAN MOZZART BET BELGRADE",11,36,67,88,189,"E2023"
"MACCABI PLAYTIKA TEL AVIV",29,52,67,79,189,"E2023"
"ALBA BERLIN",19,30,51,65,190,"E2023"
"FC BAYERN MUNICH",19,43,66,82,190,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",30,52,62,90,191,"E2023"
"BASKONIA VITORIA-GASTEIZ",20,43,69,91,191,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",19,27,45,73,192,"E2023"
"LDLC ASVEL VILLEURBANNE",10,32,54,63,192,"E2023"
"ANADOLU EFES ISTANBUL",18,42,72,98,193,"E2023"
"FC BARCELONA",13,39,60,74,193,"E2023"
"OLYMPIACOS PIRAEUS",26,42,69,89,194,"E2023"
"MACCABI PLAYTIKA TEL AVIV",18,36,57,72,194,"E2023"
"AS MONACO",33,56,80,98,195,"E2023"
"REAL MADRID",20,40,54,74,195,"E2023"
"PANATHINAIKOS AKTOR ATHENS",18,42,58,84,196,"E2023"
"PARTIZAN MOZZART BET BELGRADE",16,40,58,71,196,"E2023"
"VALENCIA BASKET",21,32,61,84,197,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,40,59,72,197,"E2023"
"ZALGIRIS KAUNAS",20,43,66,98,198,"E2023"
"FENERBAHCE BEKO ISTANBUL",14,35,55,75,198,"E2023"
"ALBA BERLIN",18,51,72,89,199,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",16,36,54,80,199,"E2023"
"FC BAYERN MUNICH",19,29,50,64,200,"E2023"
"LDLC ASVEL VILLEURBANNE",20,40,59,76,200,"E2023"
"FENERBAHCE BEKO ISTANBUL",21,52,71,88,201,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",25,47,56,75,201,"E2023"
"MACCABI PLAYTIKA TEL AVIV",18,43,62,90,202,"E2023"
"PANATHINAIKOS AKTOR ATHENS",21,36,59,75,202,"E2023"
"REAL MADRID",30,52,68,90,203,"E2023"
"OLYMPIACOS PIRAEUS",13,30,55,85,203,"E2023"
"ANADOLU EFES ISTANBUL",23,43,60,78,204,"E2023"
"AS MONACO",22,39,65,80,204,"E2023"
"EA7 EMPORIO ARMANI MILAN",23,47,57,74,205,"E2023"
"FC BARCELONA",12,28,49,70,205,"E2023"
