Team,TotalSeconds,total_Points,total_FGMade2,total_FGAtt2,total_FGMade3,total_FGAtt3,total_FTMade,total_FThrowsAtt,total_OReb,total_DReb,total_Reb,total_Assists,total_steals,total_turnovers,total_blocksfavour,total_blocksagainst,total_FoulsCommited,total_FoulsReceived,total_PIR,GameCode,SeasonCode,name_Team
ULK,12000,86,16,36,13,27,15,16,10,22,32,24,4,11,1,1,18,19,101,97,E2020,FENERBAHCE BEKO ISTANBUL
PAM,12000,90,20,30,12,28,14,15,5,23,28,23,6,10,1,1,19,18,109,97,E2020,VALENCIA BASKET
PAN,12000,83,22,39,10,26,9,12,10,21,31,21,10,10,4,2,21,20,100,98,E2020,PANATHINAIKOS OPAP ATHENS
MUN,12000,76,18,38,7,19,19,21,11,23,34,12,4,17,2,4,20,21,74,98,E2020,FC BAYERN MUNICH
ASV,12000,80,12,35,13,21,17,17,4,27,31,17,7,14,4,2,24,18,86,99,E2020,LDLC ASVEL VILLEURBANNE
BAR,12000,68,21,47,2,8,20,26,8,24,32,14,5,12,2,4,18,24,73,99,E2020,FC BARCELONA
CSK,12000,80,16,36,11,28,15,19,13,27,40,17,11,15,2,3,16,21,96,100,E2020,CSKA MOSCOW
OLY,12000,61,18,35,6,24,7,8,7,23,30,16,7,17,3,2,21,15,56,100,E2020,OLYMPIACOS PIRAEUS
DYR,12000,65,12,26,8,31,17,19,19,20,39,12,4,16,3,2,21,21,66,101,E2020,ZENIT ST PETERSBURG
ULK,12000,73,22,41,5,13,14,17,8,18,26,18,8,8,2,3,21,21,86,101,E2020,FENERBAHCE BEKO ISTANBUL
TEL,12000,81,16,32,10,27,19,21,14,27,41,19,6,18,3,4,26,21,88,102,E2020,MACCABI PLAYTIKA TEL AVIV
RED,12000,76,19,36,5,21,23,28,10,20,30,10,7,12,4,3,21,25,78,102,E2020,CRVENA ZVEZDA MTS BELGRADE
MIL,12000,77,23,46,4,15,19,23,11,18,29,12,4,6,2,6,19,22,77,103,E2020,AX ARMANI EXCHANGE MILAN
PAN,12000,80,21,36,9,21,11,16,11,24,35,18,3,12,6,2,22,19,93,103,E2020,PANATHINAIKOS OPAP ATHENS
PAM,12000,92,17,30,14,33,16,20,8,15,23,21,9,7,3,3,17,19,104,104,E2020,VALENCIA BASKET
BER,12000,100,21,35,17,32,7,9,14,25,39,28,4,13,3,3,20,17,124,104,E2020,ALBA BERLIN
IST,12000,59,14,33,8,29,7,7,11,19,30,16,6,15,3,3,18,13,51,105,E2020,ANADOLU EFES ISTANBUL
BAS,12000,77,21,45,8,19,11,15,15,29,44,21,9,15,3,3,13,18,102,105,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
ZAL,12000,62,19,34,2,18,18,20,9,16,25,16,17,19,2,3,18,21,70,106,E2020,ZALGIRIS KAUNAS
BAR,12000,73,18,32,8,20,13,15,11,19,30,22,10,24,3,2,21,18,81,106,E2020,FC BARCELONA
MUN,12000,80,21,40,9,22,11,14,5,26,31,19,9,8,3,4,17,22,100,107,E2020,FC BAYERN MUNICH
KHI,12000,77,21,34,8,24,11,14,3,29,32,19,5,14,4,3,22,17,83,107,E2020,KHIMKI MOSCOW REGION
MAD,12000,91,25,40,8,22,17,21,8,20,28,16,7,8,5,2,21,25,108,108,E2020,REAL MADRID
ASV,12000,84,18,37,11,22,15,17,10,23,33,12,6,15,2,5,25,21,81,108,E2020,LDLC ASVEL VILLEURBANNE
RED,12000,79,13,29,11,32,20,25,12,14,26,16,8,8,0,2,24,25,78,109,E2020,CRVENA ZVEZDA MTS BELGRADE
OLY,12000,81,17,25,12,23,11,16,6,26,32,15,2,20,2,0,25,24,87,109,E2020,OLYMPIACOS PIRAEUS
BER,12000,89,23,37,9,29,16,19,14,21,35,28,11,12,0,1,23,22,112,110,E2020,ALBA BERLIN
ULK,12000,63,15,29,6,22,15,18,11,19,30,16,5,20,1,0,22,23,63,110,E2020,FENERBAHCE BEKO ISTANBUL
BAS,12000,63,19,35,5,27,10,12,16,21,37,17,9,14,5,3,16,16,74,111,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
